property_id, location_zip, seating_type, clue_small_area, trading_name, x_coordinate, location_city, location_state, number_of_seats, ogc_fid, industry_anzsic4_description, y_coordinate, census_year, street_address
"102123",null,"Seats - Indoor","Melbourne (CBD)","Macchiato On Collins","144.959442",null,null,"22",41069,"Cafes and Restaurants","-37.81730302","2017","446-452 Collins Street"
"578096",null,"Seats - Outdoor","Docklands","Asuka Sushi","144.9502584",null,null,"18",41077,"Cafes and Restaurants","-37.81864992","2017","715-727 Bourke Street"
"109267",null,"Seats - Indoor","Melbourne (CBD)","Chatime","144.9661258",null,null,"9",41087,"Takeaway Food Services","-37.81528474","2017","220-226 Collins Street"
"105669",null,"Seats - Outdoor","Melbourne (CBD)","Creole Kitchen Lobby","144.9713867",null,null,"6",41098,"Takeaway Food Services","-37.80988424","2017","23-33 Lonsdale Street"
"109952",null,"Seats - Indoor","Melbourne (CBD)","New Kum Den Chinese Restaurant","144.9669911",null,null,"70",41105,"Cafes and Restaurants","-37.81162502","2017","7-9 Waratah Place"
"573414",null,"Seats - Outdoor","Docklands","Black Cod","144.9451224",null,null,"45",41110,"Cafes and Restaurants","-37.81888389","2017","788-812 Bourke Street"
"103415",null,"Seats - Indoor","North Melbourne","Errol's Cafe","144.9490835",null,null,"40",41128,"Cafes and Restaurants","-37.80345572","2017","69-71 Errol Street"
"105727",null,"Seats - Outdoor","Melbourne (CBD)","Peddler Tuck Shop CBD ","144.9564217",null,null,"10",41132,"Takeaway Food Services","-37.81365662","2017","528-538 Lonsdale Street"
"632510",null,"Seats - Indoor","Docklands","Little Bean Dockside","144.9445328",null,null,"75",41189,"Cafes and Restaurants","-37.82092961","2017","840-850 Collins Street"
"103183",null,"Seats - Indoor","Melbourne (CBD)","Schnitz","144.9626049",null,null,"20",41213,"Cafes and Restaurants","-37.81366344","2017","201-207 Elizabeth Street"
"105746",null,"Seats - Indoor","Melbourne (CBD)","Food Inc.","144.9630189",null,null,"20",41249,"Cafes and Restaurants","-37.81073331","2017","183-265 La Trobe Street"
"102685",null,"Seats - Outdoor","Carlton","Doc Pizza & Mozarella Bar","144.9684438",null,null,"30",41250,"Cafes and Restaurants","-37.7989855","2017","295-297 Drummond Street"
"105932",null,"Seats - Indoor","Melbourne (CBD)","Shamble Coffee Brewers","144.9606374",null,null,"16",41257,"Cafes and Restaurants","-37.81622852","2017","421-423 Little Collins Street"
"102073",null,"Seats - Indoor","Melbourne (CBD)","Urban Express","144.9687553",null,null,"160",41262,"Cafes and Restaurants","-37.81543178","2017","141-165 Collins Street"
"111175",null,"Seats - Indoor","Southbank","The Atlantic/The Den /The Oyster Bar & Grill/ Fish & Chippery by The Atlantic","144.9586604",null,null,"200",41265,"Cafes and Restaurants","-37.82312164","2017","8 Whiteman Street"
"609480",null,"Seats - Indoor","Docklands","Shinsei Fish & Sushi Bar ","144.9434599",null,null,"72",41277,"Cafes and Restaurants","-37.82044558","2017","829-843 Bourke Street"
