geography_name, rai_cityadjusted_total_2017_q1, rai_cityadjusted_total_2018_q4, rai_cityadjusted_total_2018_q3, rai_cityadjusted_total_2020_q1, rai_cityadjusted_total_2019_q4, rai_cityadjusted_total_2020_q3, rai_cityadjusted_total_2020_q2, rai_cityadjusted_total_2020_q4, city, unique_id, rai_cityadjusted_total_2019_q3, rai_cityadjusted_total_2017_q4, rai_cityadjusted_total_2019_q2, rai_cityadjusted_total_2017_q3, rai_cityadjusted_total_2019_q1, rai_cityadjusted_total_2017_q2, rai_cityadjusted_total_2018_q1, rai_cityadjusted_total_2018_q2, rai_cityadjusted_total_2021_q2, rai_cityadjusted_total_2021_q1
"3032",129.8077,123.6264,123.6264,128.9593,132.0667,140.7129,137.0192,144.2308,"Greater Melbourne",1337,128.9593,123.6264,127.4597,126.6417,122.1719,129.8077,120.7513,123.6264,160.2564,147.929
"3038",131.4508,123.6264,120.7513,130.4945,137.0192,137.3626,130.4945,139.0176,"Greater Melbourne",1342,127.4597,129.8077,130.4945,129.8077,129.8077,128.2051,133.1361,126.6417,137.3626,135.7466
"3047",157.3427,148.3516,148.3516,152.2436,156.5934,164.8352,156.5934,167.2241,"Greater Melbourne",1351,156.5934,152.7149,156.5934,152.7149,148.3516,153.8462,150.5017,152.7149,174.8252,164.8352
"3039",120.7513,123.6264,115.3846,130.4945,121.7949,144.2308,130.4945,144.2308,"Greater Melbourne",1343,130.4945,123.6264,121.7949,116.6811,116.6811,129.0014,123.6264,121.4575,144.2308,144.2308
"3040",129.8077,129.8077,131.4508,124.5629,133.6773,142.4501,137.0192,147.929,"Greater Melbourne",1344,137.0192,136.6397,130.4945,133.995,123.6264,136.6397,126.6417,129.8077,151.8219,144.2308
"3658",113.4931,110.2941,113.6364,122.3776,118.7783,118.7783,120.5511,112.1795,"Rest of Vic.",1758,110.2941,119.0476,113.6364,125.0,113.6364,133.9286,110.2941,113.6364,107.6923,112.1795
"3041",129.8077,129.8077,129.8077,137.0192,125.9947,147.929,137.0192,144.2308,"Greater Melbourne",1345,133.6773,131.4508,137.0192,129.8077,125.1158,123.6264,129.8077,129.8077,160.2564,159.1512
"3042",134.8651,123.6264,122.8949,121.7949,125.9947,129.6456,121.7949,134.1682,"Greater Melbourne",1346,127.4597,129.8077,133.6773,129.8077,120.7513,129.8077,118.6813,129.8077,128.2051,134.1682
"3043",144.2308,133.1361,136.6397,137.0192,144.2308,151.8219,148.1289,147.929,"Greater Melbourne",1347,137.0192,139.3908,144.2308,140.3326,136.6397,140.3326,136.6397,136.6397,146.0565,145.1379
"3044",131.4508,126.6417,123.6264,127.4597,130.4945,144.2308,133.6773,139.0176,"Greater Melbourne",1348,130.4945,129.8077,130.4945,129.8077,123.6264,129.8077,126.6417,126.6417,144.2308,137.3626
"3045",null,null,null,null,null,null,null,null,"Greater Melbourne",1349,null,null,null,null,null,null,null,null,null,null
"3053",134.8651,109.5424,130.46,137.0192,116.8608,154.2575,137.0192,160.2564,"Greater Melbourne",1356,144.2308,129.8077,114.9008,133.8224,123.9214,120.7513,131.4508,123.6264,186.1042,180.2885
"3046",144.2308,133.1361,133.1361,137.0192,138.7537,147.929,140.5325,147.929,"Greater Melbourne",1350,137.0192,136.6397,140.5325,137.5446,133.1361,140.3326,138.4615,136.6397,154.464,147.929
"3048",152.7149,140.4788,144.2308,148.1289,152.2436,162.5135,148.1289,160.2564,"Greater Melbourne",1352,148.9339,148.1886,148.1289,152.7149,140.3326,148.3516,150.0667,144.0307,164.8352,158.0611
"3049",145.2394,137.5446,130.6241,135.3276,137.0192,144.2308,142.3576,147.929,"Greater Melbourne",1353,137.0192,136.6397,128.9593,144.2308,129.0014,140.3326,140.3326,129.8077,144.2308,151.8219
"3051",140.3326,115.3846,129.8077,130.8059,119.1472,140.8848,124.5629,147.929,"Greater Melbourne",1354,133.352,115.3846,121.7949,139.204,131.4508,123.6264,135.9243,118.007,164.8352,155.9252
"3052",120.7513,120.7513,120.7513,121.7949,156.5934,163.5617,133.6773,154.8787,"Greater Melbourne",1355,146.1538,122.8949,133.6773,123.6264,118.007,123.6264,120.7513,123.6264,164.8352,153.8462
"3054",92.71978,88.7574,90.69533,91.34615,92.89439,98.19967,100.5646,96.96186,"Greater Melbourne",1357,93.28969,91.57509,100.5646,94.40559,86.90055,92.71978,89.52255,94.40559,108.8534,99.4695
"3055",144.2308,136.6397,136.6397,137.0192,137.0192,151.8219,144.2308,151.8219,"Greater Melbourne",1358,137.0192,140.3326,140.5325,140.3326,136.6397,144.2308,138.4615,142.255,174.8252,160.2564
"3056",115.3846,111.6625,112.8763,115.3846,109.6154,130.3781,120.4565,128.2051,"Greater Melbourne",1359,121.7949,115.3846,116.6121,115.3846,110.4746,118.007,112.8763,115.3846,147.929,137.3626
"3057",115.3846,112.8763,123.6264,121.7949,116.6121,135.7466,132.8671,144.2308,"Greater Melbourne",1360,121.7949,120.0534,121.7949,120.4712,112.8763,120.7513,118.007,129.8077,144.2308,137.3626
"3058",123.6264,111.0654,120.7513,119.1472,121.7949,128.2051,119.1472,122.7496,"Greater Melbourne",1361,121.7949,115.3846,119.1472,120.7513,115.3846,122.1719,120.7513,115.3846,134.1682,128.2051
"3066",108.1731,101.81,97.96807,107.4661,104.3956,118.9532,110.7226,128.2051,"Greater Melbourne",1369,101.4957,108.7394,109.6154,99.85207,103.8462,99.85207,104.8951,103.8462,134.1682,128.2051
"3059",125.1158,118.007,120.7513,127.4597,130.4945,134.1682,127.4597,134.1682,"Greater Melbourne",1362,130.4945,120.7513,127.4597,123.6264,118.007,129.8077,120.7513,120.7513,128.4907,131.1189
"3060",140.3326,129.8077,133.1361,137.0192,140.1731,144.2308,137.0192,143.3349,"Greater Melbourne",1363,137.0192,140.3326,137.0192,136.6397,129.8077,136.6397,131.4508,131.4508,154.8787,150.8296
"3061",194.105,187.1102,191.6228,152.2436,156.5934,176.9703,148.1289,167.1224,"Greater Melbourne",1364,163.6051,148.3516,156.5934,203.6199,157.3427,182.1862,164.8352,150.5017,164.8352,192.3077
"3062",null,null,null,null,null,null,null,null,"Greater Melbourne",1365,null,null,null,null,null,null,null,null,null,null
"3063",null,null,null,null,null,null,null,null,"Greater Melbourne",1366,null,null,null,null,null,null,null,null,null,null
"3064",146.2622,136.6397,134.8651,140.5325,140.5325,147.929,140.5325,146.6132,"Greater Melbourne",1367,140.5325,140.3326,137.0192,144.2308,134.8651,144.2308,140.3326,136.6397,144.5922,147.929
"3065",99.85207,96.15385,101.81,101.4957,104.3956,104.8951,96.15385,110.9467,"Greater Melbourne",1368,103.4107,101.81,94.90509,97.96807,90.69533,98.9011,98.9011,97.96807,106.8376,104.8951
"3067",115.3846,109.8901,108.7394,114.1827,109.6154,144.2308,121.7949,139.0176,"Greater Melbourne",1370,121.7949,115.3846,120.4565,115.3846,109.3117,115.3846,110.4746,115.3846,149.8501,134.1682
"3068",97.96807,90.301,96.15385,93.68836,97.87088,110.9467,101.4957,103.022,"Greater Melbourne",1371,101.4957,94.40559,96.57743,97.96807,89.52255,102.4376,94.40559,98.43237,109.8901,109.3693
"3070",109.3117,103.8462,103.8462,109.6154,109.6154,115.3846,103.4107,115.3846,"Greater Melbourne",1372,111.8524,105.9655,107.4661,108.1731,104.368,115.3846,103.8462,103.8462,128.2051,117.7394
"3188",96.60107,94.40559,94.40559,89.84868,97.00477,88.7574,94.09046,105.8574,"Greater Melbourne",1476,101.028,94.40559,91.34615,92.71978,86.53846,103.8462,94.40559,97.96807,104.8951,96.15385
"3071",131.4508,125.1158,125.1158,125.9947,132.0667,134.1682,137.0192,134.1682,"Greater Melbourne",1373,125.9947,118.007,121.7949,133.1361,123.6264,133.1361,120.7513,126.6417,151.8219,144.2308
"3189",123.6264,115.3846,109.8901,124.5629,114.7805,128.2051,121.7949,128.2051,"Greater Melbourne",1477,121.7949,110.4746,119.1472,115.3846,108.1731,108.1731,115.3846,115.3846,120.1923,136.5498
"3072",130.6241,123.6264,122.1719,128.9593,130.4945,135.7466,130.4945,137.3626,"Greater Melbourne",1374,131.2162,126.6417,124.5629,126.6417,120.7513,129.8077,123.6264,123.6264,144.2308,137.3626
"3073",148.3516,136.6397,140.3326,140.5325,144.2308,147.929,144.2308,151.8219,"Greater Melbourne",1375,144.2308,140.3326,144.2308,144.2308,136.6397,144.2308,142.255,140.3326,151.8219,151.8219
"3074",152.7149,144.2308,144.2308,152.2436,152.2436,163.8986,152.2436,160.2564,"Greater Melbourne",1376,152.2436,148.3516,148.1289,152.3341,144.2308,148.3516,144.2308,148.3516,162.5135,160.2564
"3075",149.0971,140.3326,140.3326,148.1289,150.7134,159.1512,150.1581,160.2564,"Greater Melbourne",1377,148.1289,148.3516,148.1289,148.3516,144.2308,152.7149,148.3516,144.2308,160.2564,155.9252
"3076",148.3516,140.3326,140.3326,148.1289,146.1538,151.8219,150.1581,155.9252,"Greater Melbourne",1378,148.1289,148.3516,152.2436,148.3516,140.3326,148.3516,143.2361,144.2308,155.9252,153.8462
"3078",130.6241,125.1158,130.6241,124.5629,120.4565,137.3626,142.3576,129.6456,"Greater Melbourne",1379,121.7949,116.6811,109.6154,133.1361,120.7513,136.6397,128.2051,120.7513,146.0565,144.2308
"3079",111.6625,115.3846,118.007,110.7226,119.1472,120.1923,117.866,128.2051,"Greater Melbourne",1380,127.4597,111.0654,110.7226,120.7513,105.9655,118.007,112.8763,105.9655,128.2051,124.0695
"3087",131.4508,126.6417,126.6417,123.8592,132.0667,140.7129,133.6773,146.0565,"Greater Melbourne",1387,137.0192,131.4508,135.3276,129.8077,129.8077,125.8741,126.6417,133.1361,134.1682,134.1682
"3081",136.6397,129.8077,133.1361,133.6773,133.6773,136.5498,133.6773,139.0176,"Greater Melbourne",1381,140.5325,133.1361,137.0192,140.3326,129.8077,140.3326,133.1361,135.7466,144.2308,139.0176
"3082",146.2622,140.3326,140.3326,146.1538,148.1289,153.8462,148.1289,154.8787,"Greater Melbourne",1382,148.1289,140.3326,144.2308,144.2308,140.3326,144.2308,140.3326,140.3326,151.8219,155.9252
"3083",148.3516,136.6397,136.6397,144.2308,144.2308,155.9252,144.2308,151.8219,"Greater Melbourne",1383,144.2308,142.255,144.2308,144.2308,136.6397,140.3326,138.4615,140.3326,151.8219,155.9252
"3084",123.6264,120.7513,118.007,121.7949,125.9947,137.3626,130.4945,144.2308,"Greater Melbourne",1384,130.4945,115.3846,121.7949,122.1719,118.6813,125.8741,115.3846,123.6264,133.3926,137.3626
"3085",140.3326,133.1361,129.8077,152.2436,130.4945,134.1682,135.3276,132.626,"Greater Melbourne",1385,137.0192,129.0014,137.0192,131.4508,138.4615,138.4615,144.2308,130.6241,129.6456,140.7129
"3088",123.6264,115.3846,120.7513,121.5248,124.5629,131.1189,123.1634,132.626,"Greater Melbourne",1388,121.7949,120.7513,124.5629,126.6417,118.007,126.6417,120.7513,123.6264,128.2051,129.6456
"3190",120.7513,115.3846,115.3846,115.3846,111.8524,120.1923,121.7949,124.0695,"Greater Melbourne",1478,121.7949,115.3846,115.3846,115.3846,105.9655,115.3846,112.8763,111.6625,131.8681,125.4181
"3086",null,null,null,null,null,null,null,null,"Greater Melbourne",1386,null,null,null,null,null,null,null,null,null,null
"3093",140.3326,125.1158,123.6264,127.4597,130.4945,128.2051,133.6773,134.1682,"Greater Melbourne",1392,137.0192,128.2051,135.3276,157.3427,138.4615,129.8077,133.1361,129.8077,135.7466,144.2308
"3094",129.8077,120.7513,120.7513,119.1472,119.1472,125.4181,127.4597,126.7963,"Greater Melbourne",1393,121.7949,123.6264,121.7949,123.6264,122.1719,124.3443,118.007,115.3846,122.1001,125.4181
"3095",107.0579,107.6126,103.8462,111.8524,115.3846,115.3846,109.6154,117.7394,"Greater Melbourne",1394,116.6121,115.3846,116.6121,112.8763,112.8763,103.8462,103.8462,112.8763,128.2051,121.4575
"3193",79.88166,74.17582,74.17582,83.04196,87.69231,88.7574,94.09046,96.55616,"Greater Melbourne",1481,73.07692,74.17582,80.59955,74.70946,79.88166,91.09312,76.63923,89.13833,86.10792,81.25677
"3089",116.6811,115.3846,116.6811,113.0056,120.4565,115.3638,133.6431,124.0695,"Greater Melbourne",1389,121.7949,108.1731,121.7949,118.0177,111.6625,121.4575,123.6264,102.3115,104.8951,128.2051
"3090",null,null,null,null,null,null,null,null,"Greater Melbourne",1390,null,null,null,null,null,null,null,null,null,null
"3091",null,null,null,null,null,null,null,null,"Greater Melbourne",1391,null,null,null,null,null,null,null,null,null,null
"3096",null,null,null,null,null,null,null,null,"Greater Melbourne",1395,null,null,null,null,null,null,null,null,null,null
"3097",null,null,null,null,null,null,null,null,"Greater Melbourne",1396,null,null,null,null,null,null,null,null,null,null
"3099",144.2308,null,115.3846,null,124.1397,null,null,null,"Greater Melbourne",1397,111.8524,126.6417,109.6154,null,126.6417,null,114.7471,173.0769,null,129.6456
"3101",109.3117,101.81,103.8462,105.3994,105.3994,120.1923,109.6154,118.9532,"Greater Melbourne",1398,107.4661,105.9655,109.6154,108.1731,101.81,110.4746,103.8462,103.8462,128.2051,122.7496
